code;name;dose
A03AA04;Mebeverin;"0,3 g O; 0,4 g O "
A03AA05;Trimebutin;0,6 g O
A03AA07;Dicycloverin;80 mg O,P
A03AB01;Benzilon;70 mg O
A03AB02;Glycopyrroniumbromid;"3 mg O,R; 0,3 mg P; 2,4 mg O Kinder DDD bezogen auf Glycopyrronium "
A03AB03;Oxyphenonium;25 mg O
A03AB04;Penthienat;15 mg O
A03AB05;Propanthelin;60 mg O,P
A03AB07;Methanthelinium;0,15 g O
A03AB08;Tridihexethyl;0,125 g O
A03AB09;Isopropamid;10 mg O
A03AB10;Hexocyclium;0,15 g O
A03AB11;Poldin;12 mg O
A03AB12;Mepenzolat;0,1 g O
A03AB13;Bevonium;0,2 g O
A03AB14;Pipenzolat;20 mg O
A03AB16;(2-Benzhydryloxyethyl)diethylmethylammoniumiodid;0,3 g O
A03AD01;Papaverin;0,1 g O,P
A03AD02;Drotaverin;0,1 g O,P
A03AD30;Moxaverin;50 mg O
A03AE01;Alosetron;1 mg O
A03AX03;Chlorbenzoxamin;0,15 g O
A03AX04;Pinaverium;0,15 g O
A03AX13;Silikone;0,5 g O
A03AX30;Trimethyldiphenylpropylamin;50 mg O,P
A03BA01;Atropin;1,5 mg O,P
A03BA03;Hyoscyamin;1,2 mg O
A03BA04;Belladonna-Gesamtalkaloide;1 mg O
A03BB01;Butylscopolamin;60 mg O,P,R
A03BB02;Methylatropin;3 mg O
A03BB03;Methylscopolamin;12 mg O,P
A03BB04;Fentonium;60 mg O
A03FA01;Metoclopramid;"30 mg O,P,R; 10 mg R Kinder DDD "
A03FA02;Cisaprid;30 mg O,R
A03FA03;Domperidon;"30 mg O,P; 0,12 g R"
A03FA04;Bromoprid;20 mg O,P
A03FA05;Alizaprid;0,15 g O,P
A03PP02;Schöllkraut;"3,5 g O Droge; 21 mg O Gesamtalkaloide, berechnet als Chelidonin "
A04AA01;Ondansetron;16 mg O,P,R
A04AA02;Granisetron;"2 mg O; 3 mg P; 3,1 mg TD Pflaster bezogen auf die Freisetzungsrate
pro 24 Stunden"
A04AA03;Tropisetron;5 mg O,P
A04AA04;Dolasetron;"0,2 g O; 0,1 g P"
A04AA05;Palonosetron;"0,5 mg O; 0,25 mg P"
A04AA55;Palonosetron, Kombinationen;0,5 mg O bezogen auf Palonosetron 
A04AB02;Dimenhydrinat;"0,275 g O; 0,2 g R "
A04AB04;Meclozin;"37,5 mg O; 50 mg R "
A04AB54;Meclozin, Kombinationen;"37,5 mg O bezogen auf Meclozin; 50 mg R bezogen auf Meclozin "
A04AD05;Metopimazin;15 mg O,P
A04AD11;Nabilon;3 mg O 
A04AD12;Aprepitant, Fosaprepitant;"165 mg O Eindosisbehandlung; 150 mg P bezogen auf Fosaprepitant; 
95 mg O; 70 mg O Kinder DDD "
A04AD14;Rolapitant;0,18 g O Eindosisbehandlung
A05AA01;Chenodeoxycholsäure;1 g O
A05AA02;Ursodeoxycholsäure;0,75 g O
A05AA03;Cholsäure;0,25 g O Kinder DDD 
A05AA04;Obeticholsäure;10 mg O
A05AP03;Artischockenblätter;"6 g O Droge; 30 g O Frischpflanze "
A05AP07;Curcumawurzelstock;"2 g O Javanische Gelbwurz; 2,25 g O Curcumawurzelstock "
A05AX02;Hymecromon;1 g O 
A05BP01;Mariendistelfrüchte;"13,5 g O Droge; 0,3 g O bezogen auf Silymarin "
A06AA01;Dickflüssiges Paraffin;15 g O
A06AA02;Docusat-Natrium;0,15 g O
A06AB01;Oxyphenisatin;10 mg O
A06AB02;Bisacodyl;10 mg O,R
A06AB03;Dantron;50 mg O
A06AB04;Phenolphthalein;0,2 g O
A06AB05;Rizinusöl;20 g O
A06AB08;Natriumpicosulfat;"5 mg O; 2,5 mg O Kinder DDD "
A06AB09;Bisoxatin;0,12 g O
A06AB10;Koloquinthen;0,3 g O Droge 
A06AC01;Ispaghula (Flohsamen);7 g O
A06AC02;Ethulose;3 g O
A06AC03;Sterculia;8 g O
A06AC06;Methylcellulose;2 g O
A06AC07;Triticum (Weizenkleie);10 g O
A06AC08;Polycarbophil-Calcium;2,5 g O
A06AD01;Magnesiumcarbonat;7 g O
A06AD02;Magnesiumoxid;7 g O
A06AD04;Magnesiumsulfat;7 g O
A06AD11;Lactulose;"6,7 g O; 12,5 g O "
A06AD12;Lactitol;10 g O
A06AD15;Macrogol;10 g O
A06AD17;Natriumphosphat;50 g O
A06AD18;Sorbitol;10 g O
A06AD65;Macrogol, Kombinationen;Standarddosis: 2 DE O 
A06AG01;Natriumphosphat;Standarddosis: 1 DE R 
A06AG02;Bisacodyl;Standarddosis: 1 DE R 
A06AG03;Dantron, inkl. Kombinationen;Standarddosis: 1 DE R 
A06AG04;Glycerol;Standarddosis: 1 DE R 
A06AG06;Öl;Standarddosis: 1 DE R 
A06AG07;Sorbitol;Standarddosis: 1 DE R 
A06AG10;Docusat-Natrium, inkl. Kombinationen;Standarddosis: 1 DE R 
A06AG11;Natriumlaurylsulfoacetat, inkl. Kombinationen;Standarddosis: 1 DE R 
A06AG20;Kombinationen;Standarddosis: 1 DE R 
A06AH01;Methylnaltrexonbromid;6 mg P
A06AH03;Naloxegol;25 mg O
A06AH05;Naldemedin;0,2 mg O
A06AX01;Glycerol;2 g R 
A06AX04;Linaclotid;0,29 mg O
A06AX05;Prucaloprid;2 mg O
A06AX06;Tegaserod;12 mg O
A06AX07;Plecanatid;3 mg O
A07AA01;Neomycin;5 g O
A07AA02;Nystatin;1,5 MIO E O
A07AA03;Natamycin;0,3 g O
A07AA05;Polymyxin B;3 MIO E O
A07AA06;Paromomycin;3 g O
A07AA07;Amphotericin B;0,4 g O
A07AA08;Kanamycin;3 g O
A07AA09;Vancomycin;2 g O
A07AA10;Colistin;9 MIO E O
A07AA11;Rifaximin;0,6 g O
A07AA12;Fidaxomicin;0,4 g O
A07AB02;Phthalylsulfathiazol;9 g O
A07AB03;Sulfaguanidin;4 g O
A07AC01;Miconazol;1 g O
A07AX03;Nifuroxazid;0,6 g O
A07BA01;Medizinische Kohle;5 g O
A07BC05;Diosmectit;9 g O
A07DA01;Diphenoxylat;15 mg O
A07DA02;Opium;"0,1 g O; 1 g O "
A07DA03;Loperamid;"10 mg O; 3,5 mg O Kinder DDD "
A07DA05;Loperamidoxid;5 mg O
A07DA06;Eluxadolin;0,2 g O
A07EA04;Betamethason;Standarddosis: 1 DE R 
A07EA06;Budesonid;"9 mg O; Standarddosis: 1 DE R "
A07EA51;Prednisolon, Kombinationen;Standarddosis: 1 DE R 
A07EB01;Cromoglicinsäure;0,8 g O
A07EC01;Sulfasalazin;"2 g O,R; Standarddosis: 1 DE R "
A07EC02;Mesalazin;"1,5 g O,R; Standarddosis: 1 DE R "
A07EC03;Olsalazin;1 g O
A07EC04;Balsalazid;6,75 g O
A07FA02;Saccharomyces boulardii;1 g O
A07XA01;Albumintannat;3 g O
A07XA04;Racecadotril;"0,3 g O; 0,1 g O Kinder DDD "
A08AA01;Phentermin;15 mg O
A08AA02;Fenfluramin;0,12 g O
A08AA03;Amfepramon;75 mg O
A08AA04;Dexfenfluramin;30 mg O
A08AA05;Mazindol;1 mg O
A08AA10;Sibutramin;10 mg O
A08AA62;Bupropion und Naltrexon;4 DE O 
A08AB01;Orlistat;0,36 g O
A08AX01;Rimonabant;20 mg O
A08AX02;Liraglutid;3 mg P 
A09AA02;Multienzyme (Lipase, Protease etc.);240 TSD FIP E O Lipase 
A09AB01;Glutaminsäurehydrochlorid;1,5 g O
A09AB02;Betainhydrochlorid;1 g O
A09AB04;Zitronensäure;2 g O
A10AB01;Insulin (human);40 E P
A10AB02;Insulin (Rind);40 E P
A10AB03;Insulin (Schwein);40 E P
A10AB04;Insulin lispro;40 E P
A10AB05;Insulin aspart;40 E P
A10AB06;Insulin glulisin;40 E P
A10AB30;Kombinationen;40 E P
A10AC01;Insulin (human);40 E P
A10AC02;Insulin (Rind);40 E P
A10AC03;Insulin (Schwein);40 E P
A10AC04;Insulin lispro;40 E P
A10AC30;Kombinationen;40 E P
A10AD01;Insulin (human);40 E P
A10AD02;Insulin (Rind);40 E P
A10AD03;Insulin (Schwein);40 E P
A10AD04;Insulin lispro;40 E P
A10AD05;Insulin aspart;40 E P
A10AD06;Insulin degludec und Insulin aspart;40 E P
A10AD30;Kombinationen;40 E P
A10AE01;Insulin (human);40 E P
A10AE02;Insulin (Rind);40 E P
A10AE03;Insulin (Schwein);40 E P
A10AE04;Insulin glargin;40 E P
A10AE05;Insulin detemir;40 E P
A10AE06;Insulin degludec;40 E P
A10AE30;Kombinationen;40 E P
A10AE54;Insulin glargin und Lixisenatid;40 E P bezogen auf Insulin glargin
A10AE56;Insulin degludec und Liraglutid;40 E P bezogen auf Insulin degludec
A10AF01;Insulin (human);15 mg Inhal.pulver
A10BA01;Phenformin;0,1 g O
A10BA02;Metformin;2 g O
A10BA03;Buformin;0,2 g O
A10BB01;Glibenclamid;"10 mg O; 7 mg O mikrokristall. Substanz; 6 mg O Kinder DDD bezogen auf die kontinuierliche Behandlung ohne Insulindosis "
A10BB02;Chlorpropamid;0,375 g O
A10BB03;Tolbutamid;1,5 g O
A10BB04;Glibornurid;38 mg O
A10BB05;Tolazamid;0,5 g O
A10BB06;Carbutamid;0,75 g O
A10BB07;Glipizid;10 mg O
A10BB08;Gliquidon;60 mg O
A10BB09;Gliclazid;60 mg O
A10BB12;Glimepirid;2 mg O
A10BB31;Acetohexamid;0,5 g O
A10BC01;Glymidin;1 g O
A10BD03;Metformin und Rosiglitazon;Standarddosis: 2 DE O 
A10BD04;Glimepirid und Rosiglitazon;Standarddosis: 1 DE O 
A10BD05;Metformin und Pioglitazon;Standarddosis: 2 DE O 
A10BD06;Glimepirid und Pioglitazon;Standarddosis: 1 DE O 
A10BD07;Metformin und Sitagliptin;Standarddosis: 2 DE O 
A10BD08;Metformin und Vildagliptin;Standarddosis: 2 DE O 
A10BD10;Metformin und Saxagliptin;Standarddosis: 2 DE O 
A10BD15;Metformin und Dapagliflozin;Standarddosis: 2 DE O 
A10BD16;Metformin und Canagliflozin;Standarddosis: 2 DE O 
A10BD20;Metformin und Empagliflozin;Standarddosis: 2 DE O 
A10BD24;Sitagliptin und Ertugliflozin;Standarddosis: 1 DE O 
A10BD31;Metformin und Glibenclamid;Standarddosis: 2 DE O 
A10BF01;Acarbose;0,3 g O
A10BF02;Miglitol;0,3 g O
A10BF03;Voglibose;0,6 mg O
A10BG01;Troglitazon;0,4 g O
A10BG02;Rosiglitazon;6 mg O
A10BG03;Pioglitazon;30 mg O
A10BH01;Sitagliptin;0,1 g O
A10BH02;Vildagliptin;0,1 g O
A10BH03;Saxagliptin;5 mg O
A10BH04;Alogliptin;25 mg O
A10BH05;Linagliptin;5 mg O
A10BH06;Gemigliptin;50 mg O
A10BH07;Evogliptin;5 mg O
A10BJ01;Exenatid;"15 mcg P; 0,286 mg P Depotinjektion"
A10BJ02;Liraglutid;"1,2 mg P; 1,5 mg P "
A10BJ03;Lixisenatid;20 mcg P
A10BJ04;Albiglutid;5,7 mg P
A10BJ05;Dulaglutid;0,16 mg P
A10BJ06;Semaglutid;0,11 mg P 
A10BK01;Dapagliflozin;10 mg O
A10BK02;Canagliflozin;0,2 g O
A10BK03;Empagliflozin;17,5 mg O
A10BK04;Ertugliflozin;10 mg O
A10BX02;Repaglinid;4 mg O
A10BX03;Nateglinid;0,36 g O
A10BX06;Benfluorex;0,45 g O
A10BX08;Mitiglinid;30 mg O
A11AA02;Multivitamine und Calcium;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A11AA03;Multivitamine und andere Mineralstoffe, inkl. Kombinationen;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A11AB50;Multivitamine, andere Kombinationen;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A11BA01;Multivitamine, rein;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A11CA01;Retinol (Vitamin A);50 TSD E O,P
A11CC02;Dihydrotachysterol;1 mg O
A11CC03;Alfacalcidol;1 mcg O,P
A11CC04;Calcitriol;1 mcg O,P
A11CC05;Colecalciferol;"20 mcg O; Standarddosis: 1 DE O, P zur Stoßtherapie; 
500 E O Kinder DDD prophylaktische Dosis "
A11CC80;Colecalciferol, Kombinationen mit Natriumfluorid;500 E O Kinder DDD bezogen auf Colecalciferol, prophylaktische Dosis 
A11DA01;Thiamin (Vitamin B1);50 mg O,P
A11EB01;Vitamin-B-Komplex mit Vitamin C;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A11GA01;Ascorbinsäure (Vitamin C);0,2 g O,P
A11HA01;Nicotinamid;0,15 g O
A11HA02;Pyridoxin (Vitamin B6);0,16 g O,P
A11HA03;Tocopherol (Vitamin E);0,2 g O,P
A11HA05;Biotin;5 mg O 
A11HA08;Tocofersolan;"0,2 g O bezogen auf Tocopherol; 0,425 g O Kinder DDD RRR-alpha-Tocopherol in Form v. Tocofersolan "
A11JA01;Retinol, Kombinationen;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A11JA03;Tocopherol (Vitamin E), Kombinationen;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A11JA20;Kombinationen;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A11JB01;Vitamin E, Kombinationen mit Mineralstoffen;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A11JC50;Vitamine, andere Kombinationen;Standarddosis: 1 Tablette oder 30 ml Mixtur O 
A12AA01;Calciumphosphat;2 g O
A12AA02;Calciumglubionat;2,75 g P
A12AA03;Calciumgluconat**;3 g O,P
A12AA04;Calciumcarbonat;3 g O
A12AA05;Calciumlactat;2 g O
A12AA06;Calciumlactogluconat;3 g O
A12AA07;Calciumchlorid;0,2 g P
A12AA09;Calciumcitratlysin-Komplex;0,5 g O
A12AA10;Calciumglucoheptonat;3 g O
A12AA20;Calcium (verschiedene Salze in Kombination);0,5 g O Ca2+
A12AA30;Calciumlaevulat;1 g P
A12BA01;Kaliumchlorid;3 g O
A12BA02;Kaliumcitrat;4 g O
A12BA03;Kaliumhydrogentartrat;7,5 g O
A12BA04;Kaliumhydrogencarbonat;4 g O
A12CA01;Natriumchlorid;1 g O
A12CB01;Zinksulfat;"0,6 g O; 20 mg O,P "
A12CB02;Zinkgluconat;20 mg O,P 
A12CB03;Zinkprotein-Komplex;20 mg O,P 
A12CB05;Zinkhydrogenaspartat;20 mg O,P 
A12CB06;Zinkorotat;20 mg O,P 
A12CC01;Magnesiumchlorid;"2,5 g O; 0,8 g P"
A12CC02;Magnesiumsulfat;"3 g O; 1 g P"
A12CC03;Magnesiumgluconat;5 g O
A12CC04;Magnesiumcitrat;2 g O
A12CC05;Magnesiumaspartat;10 mmol O Mg2+ 
A12CC10;Magnesiumoxid;0,5 g O 
A12CD01;Natriumfluorid;88 mg O bezogen auf Fluorid 40 mg
A12CD02;Natriummonofluorphosphat;0,152 g O bezogen auf Fluorid 20 mg
A12CD52;Natriummonofluorphosphat, Kombinationen;20 mg O bezogen auf Fluorid 
A12CE01;Natriumselenat;0,2 mg O Se
A12CE02;Natriumselenit;"0,2 mg O Se; 0,2 mg P"
A13AA01;Glutaminsäure;Standarddosis: 30 ml flüssige Zubereitung O 
A13AA02;Lebertran;Standarddosis: 30 ml flüssige Zubereitung O 
A13AA50;Tonika, Kombinationen;Standarddosis: 30 ml flüssige Zubereitung O 
A14AA02;Stanozolol;"5 mg O; 3,5 mg P"
A14AA03;Metandienon;5 mg O
A14AA04;Metenolon;"10 mg O; 7 mg P"
A14AA05;Oxymetholon;0,25 g O
A14AB01;Nandrolon;2 mg P
A14AB02;Ethylestrenol;2 mg O
A16AA01;Levocarnitin;2 g O,P
A16AA04;Mercaptamin;2 g O
A16AA05;Carglumsäure;0,2 g O
A16AA06;Betain;6 g O
A16AA07;Metreleptin;5 mg P 
A16AB02;Imiglucerase;300 E P
A16AB03;Agalsidase alfa;1 mg P
A16AB04;Agalsidase beta;5 mg P
A16AB05;Laronidase;1 TSD E P
A16AB06;Sacrosidase;68 TSD E O
A16AB07;Alglucosidase alfa;0,1 g P
A16AB09;Idursulfase;5 mg P 
A16AB10;Velaglucerase alfa;300 E P
A16AB12;Elosulfase alfa;"20 mg P; 7 mg P Kinder DDD "
A16AB13;Asfotase alfa;21,4 mg P Kinder DDD 
A16AB14;Sebelipase alfa;"5 mg P; 2 mg P Kinder DDD "
A16AB15;Velmanase alfa;10 mg P 
A16AB17;Cerliponase alfa;21 mg P Kinder DDD 
A16AB18;Vestronidase alfa;20 mg P 
A16AX01;Thioctsäure (Alpha-Liponsäure);0,6 g O,P
A16AX03;Natriumphenylbutyrat;20 g O
A16AX04;Nitisinon;20 mg O
A16AX05;Zinkacetat;0,15 g O
A16AX06;Miglustat;0,3 g O
A16AX07;Sapropterin;0,7 g O 
A16AX08;Teduglutid;"5 mg P; 1,25 mg P Kinder DDD "
A16AX09;Glycerolphenylbutyrat;15 g O 
A16AX10;Eliglustat;0,168 g O
A16AX12;Trientin;0,7 g O 
A16AX14;Migalastat;61,5 mg O
A16AX15;Telotristat;0,75 g O
B01AA01;Dicoumarol;0,1 g O
B01AA02;Phenindion;0,1 g O
B01AA03;Warfarin;7,5 mg O,P
B01AA04;Phenprocoumon;3 mg O
B01AA07;Acenocoumarol;5 mg O
B01AA08;Ethylbiscoumacetat;0,6 g O
B01AB01;Heparin;10 TSD E P
B01AB02;Antithrombin III, Antithrombin alfa ;"2,1 TSD E P; 7,5 TSD E P bezogen auf Antithrombin alfa "
B01AB04;Dalteparin;2,5 TSD E P anti Xa
B01AB05;Enoxaparin;2 TSD E P anti Xa
B01AB06;Nadroparin;2,85 TSD E P anti Xa
B01AB07;Parnaparin;3,2 TSD E P anti Xa
B01AB08;Reviparin;1,43 TSD E P anti Xa
B01AB09;Danaparoid;1,5 TSD E P anti Xa
B01AB10;Tinzaparin;3,5 TSD E P anti Xa
B01AB11;Sulodexid;500 LSU O,P (Lipoprotein-Lipase-Releasing-Einheiten)
B01AB12;Bemiparin;2,5 TSD E P
B01AB13;Certoparin;3 TSD E P anti Xa 
B01AC04;Clopidogrel;75 mg O
B01AC05;Ticlopidin;0,5 g O
B01AC06;Acetylsalicylsäure;1 Tablette O (unabhängig von der Wirkstärke)
B01AC07;Dipyridamol;"0,4 g O; 0,2 g P"
B01AC08;Carbasalat calcium;1 Tablette O
B01AC09;Epoprostenol;38 mcg P 
B01AC11;Iloprost;"0,15 mg Inhal.lösung; 50 mcg P"
B01AC13;Abciximab;25 mg P
B01AC16;Eptifibatid;0,2 g P
B01AC17;Tirofiban;10 mg P
B01AC18;Triflusal;0,6 g O
B01AC21;Treprostinil;4,3 mg P
B01AC22;Prasugrel;10 mg O
B01AC23;Cilostazol;0,2 g O
B01AC24;Ticagrelor;0,18 g O
B01AC25;Cangrelor;50 mg P
B01AC26;Vorapaxar;2,08 mg O
B01AC27;Selexipag;1,8 mg O
B01AC34;Clopidogrel und Acetylsalicylsäure;75 mg O bezogen auf Clopidogrel 
B01AC36;Dipyridamol und Acetylsalicylsäure;0,4 g O bezogen auf Dipyridamol 
B01AC86;Acetylsalicylsäure und Esomeprazol;Standarddosis: 1 DE O 
B01AD01;Streptokinase;1,5 MIO E P
B01AD02;Alteplase;0,1 g P
B01AD03;Anistreplase;30 E P
B01AD04;Urokinase;3 MIO E P
B01AD07;Reteplase;20 E P
B01AD10;Drotrecogin alfa (aktiviert);40 mg P
B01AD11;Tenecteplase;40 mg P
B01AE01;Desirudin;30 mg P
B01AE02;Lepirudin;0,25 g P
B01AE03;Argatroban;0,2 g P
B01AE04;Melagatran;6 mg P
B01AE05;Ximelagatran;48 mg O
B01AE06;Bivalirudin;0,25 g P
B01AE07;Dabigatranetexilat;0,3 g O
B01AF01;Rivaroxaban;20 mg O
B01AF02;Apixaban;10 mg O
B01AF03;Edoxaban;60 mg O
B01AX01;Defibrotid;1,75 g P
B01AX05;Fondaparinux;2,5 mg P
B01AX07;Caplacizumab;10 mg P 
B01AY02;Urokinase;25 TSD E P 
B02AA01;Aminocapronsäure;16 g O,P
B02AA02;Tranexamsäure;2 g O,P
B02AA03;Aminomethylbenzoesäure;0,25 g O
B02AB01;Aprotinin;500 TSD E P
B02AB02;Alfa1-Antitrypsin;0,6 g P
B02BA01;Phytomenadion;20 mg O,P
B02BA02;Menadion;"10 mg O; 2 mg P"
B02BB01;Fibrinogen, human;5 g P
B02BC01;Absorbierbarer Gelatineschwamm;Standarddosis: 1 DE T 
B02BC02;Oxidierte Zellulose;Standarddosis: 1 DE T 
B02BC07;Kollagen;Standarddosis: 1 DE T 
B02BC57;Kollagen, Kombinationen;Standarddosis: 1 DE T 
B02BD01;Blutgerinnungsfaktoren IX, II, VII und X in Kombination;1,6 TSD E P bezogen auf Blutgerinnungsfaktor IX 
B02BD02;Blutgerinnungsfaktor VIII;1 TSD E P 
B02BD03;Faktor-VIII-Inhibitor-bypass-Aktivität;7 TSD E P 
B02BD04;Blutgerinnungsfaktor IX;600 E P 
B02BD05;Blutgerinnungsfaktor VII;6,5 TSD E P 
B02BD06;Von Willebrand-Faktor und Blutgerinnungsfaktor VIII in Kombination;1 TSD E P bezogen auf Blutgerinnungsfaktor VIII 
B02BD07;Blutgerinnungsfaktor XIII;3,5 TSD E P 
B02BD09;Nonacog alfa;800 E P 
B02BD10;Von Willebrand-Faktor;1,5 TSD E P 
B02BD13;Blutgerinnungsfaktor X;1,75 TSD E P 
B02BD14;Susoctocog alfa;14 TSD E P 
B02BD15;Octocog alfa;1 TSD E P 
B02BD16;Turoctocog alfa;1 TSD E P 
B02BD17;Simoctocog alfa;1 TSD E P 
B02BD29;Nonacog gamma;800 E P 
B02BD31;Moroctocog alfa;1 TSD E P 
B02BD32;Efmoroctocog alfa;1 TSD E P 
B02BD33;Albutrepenonacog alfa;400 E P 
B02BD34;Eftrenonacog alfa;400 E P 
B02BD35;Lonoctocog alfa;1 TSD E P 
B02BD36;Nonacog beta pegol;400 E P 
B02BD37;Eptacog alfa (aktiviert);18,9 mg P 
B02BD38;Rurioctocog alfa pegol;1 TSD E P 
B02BD39;Damoctocog alfa pegol;1 TSD E P 
B02BD40;Vonicog alfa;1,5 TSD E P 
B02BX04;Romiplostim;30 mcg P
B02BX05;Eltrombopag;50 mg O
B02BX06;Emicizumab;15 mg P
B03AA01;Eisen(II)glycinsulfat;0,2 g O Fe2+
B03AA02;Eisen(II)fumarat;0,2 g O Fe2+
B03AA03;Eisen(II)gluconat;0,2 g O Fe2+
B03AA04;Eisen(II)carbonat;0,2 g O Fe2+
B03AA05;Eisen(II)chlorid;0,2 g O Fe2+
B03AA06;Eisen(II)succinat;0,2 g O Fe2+
B03AA07;Eisen(II)sulfat;0,2 g O Fe2+
B03AA08;Eisen(II)tartrat;0,2 g O Fe2+
B03AA09;Eisen(II)aspartat;0,2 g O Fe2+
B03AA10;Eisen(II)ascorbat;0,2 g O Fe2+
B03AA11;Eisen(II)iodat;0,2 g O Fe2+
B03AA13;Eisen(II)polystyrol-sulfonat;0,2 g O Fe2+ 
B03AA19;Ammoniumeisen(II)sulfat;0,2 g O Fe2+ 
B03AB01;Eisen(III)natriumcitrat;0,75 g O Fe3+
B03AB02;Eisen(III)oxid-Saccharose-Komplex;0,11 g O Fe3+
B03AB03;Natriumferedetat;0,17 g O Fe3+
B03AB05;Eisen(III)hydroxid-Polymaltose-Komplex;90 mg O Fe3+
B03AB09;Eisen(III)proteinsuccinylat;80 mg O Fe3+
B03AB10;Eisen(III)-maltol;60 mg O Fe3+ 
B03AC  ;Eisen, parenterale Zubereitungen;0,1 g P Fe
B03AC01;Eisen(III)hydroxid-Polymaltose-Komplex;0,1 g P Fe3+ 
B03AC02;Eisen(III)oxid-Saccharose-Komplex;0,1 g P Fe3+ 
B03AC03;Eisen(III)sorbit-Zitronensäure-Komplex;0,1 g P Fe3+ 
B03AC05;Eisen(III)sorbit-Gluconsäure-Komplex;0,1 g P Fe3+ 
B03AC06;Eisen(III)hydroxid-Dextran-Komplex;0,1 g P Fe3+ 
B03AC07;Eisen(III)natrium-Gluconat-Komplex;0,1 g P Fe3+ 
B03AD03;Eisen(II)sulfat;0,1 g O Fe2+ 
B03AD05;Ammoniumeisen(II)sulfat;0,1 g O Fe2+ 
B03AD06;Eisen(II)glycinsulfat;0,1 g O Fe2+ 
B03BA01;Cyanocobalamin;"70 mcg N; 1 mg O; 20 mcg P"
B03BA02;Cyanocobalamin-Tannin-Komplex;20 mcg P
B03BA03;Hydroxocobalamin;20 mcg P
B03BA05;Mecobalamin;"1,5 mg O; 0,2 mg P"
B03BB01;Folsäure;"0,4 mg O prophylaktische Dosis; 10 mg P therapeutische Dosis; 
10 mg O therapeutische Dosis "
B03XA01;Erythropoietin;1 TSD E P
B03XA02;Darbepoetin alfa;4,5 mcg P
B03XA03;Methoxy-Polyethylenglycol-Epoetin beta;4 mcg P
B03XA11;Epoetin delta;1 TSD E P 
B05AA01;Albumin;Standarddosis: 1 DE P 
B05AA02;Andere Plasmaproteinfraktionen;Standarddosis: 1 DE P 
B05AA03;Fluorocarbon-Blutersatzmittel;Standarddosis: 1 DE P 
B05AA05;Dextran;Standarddosis: 1 DE P 
B05AA06;Gelatine-haltige Mittel;Standarddosis: 1 DE P 
B05AA07;Hydroxyethylstärke;Standarddosis: 1 DE P 
